,county,admin2_new,admin2_old,admin2
0,Berat,2,Berat,102
1,Berat,2,Velabisht,308
2,Berat,2,Otllak,304
3,Berat,2,Sinje,306
4,Berat,2,Roshnik,310
5,Berat,58,Ura Vajgurore,167
6,Berat,58,Poshnje,302
7,Berat,58,Kutalli,303
8,Berat,58,Cukalat,311
9,Berat,28,Kucove,124
10,Berat,28,Kozare,531
11,Berat,28,Perondi,530
12,Berat,28,Lumas,305
13,Berat,54,Corovode,139
14,Berat,54,Qender Skrapar,740
15,Berat,54,Bogove,745
16,Berat,54,Vendreshe,744
17,Berat,54,Cepan,743
18,Berat,54,Potom,741
19,Berat,54,Leshnje,742
20,Berat,54,Gjerbes,747
21,Berat,54,Zhepe,746
22,Berat,44,Polican,140
23,Berat,44,Terpan,307
24,Berat,44,Vertop,309
25,Diber,7,Peshkopi,106
26,Diber,7,Tomin,345
27,Diber,7,Melan,346
28,Diber,7,Kastriot,347
29,Diber,7,Lure,348
30,Diber,7,Maqellare,349
31,Diber,7,Muhurr,350
32,Diber,7,Luzni,358
33,Diber,7,Selishte,351
34,Diber,7,Sllove,352
35,Diber,7,Kala e Dodes,353
36,Diber,7,Zall Dardhe,354
37,Diber,7,Zall Rec,355
38,Diber,7,Fushe cidhen,356
39,Diber,7,Arras,357
40,Diber,3,Bulqize,103
41,Diber,3,Martanesh,321
42,Diber,3,Fushe Bulqize,315
43,Diber,3,Zerqan,320
44,Diber,3,Shupenze,318
45,Diber,3,Gjorice,319
46,Diber,3,Ostren,317
47,Diber,3,Trebisht,316
48,Diber,37,Burrel,132
49,Diber,37,Baz,647
50,Diber,37,Derjan,649
51,Diber,37,Rukaj,648
52,Diber,37,Macukull,650
53,Diber,37,Komsi,645
54,Diber,37,Lis,651
55,Diber,37,Ulez,646
56,Diber,22,Klos - Diber,654
57,Diber,22,Xiber,655
58,Diber,22,Suc,652
59,Diber,22,Gurre,653
60,Durres,10,Durres,107
61,Durres,10,Sukth,151
62,Durres,10,Ishem,372
63,Durres,10,Katundi i ri,368
64,Durres,10,Rrashbull,365
65,Durres,10,Manez,150
