sheet,row,code,measure,range,year,excel,pipeline,status,diff,n_sumifs,sample_formula
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2006,16340663020.0,16340663020.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2007,19841185968.0,19841185968.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2008,24188109926.28,24188109926.28,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2009,29220444652.015625,29220444652.015625,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2010,30215617419.0,30215617419.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2011,32769843034.256653,32769843034.256653,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2012,36058616981.99258,36058616981.99258,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2013,38630273413.0,38630273413.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2014,43563801680.0,43563801680.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved,base,2015,50116557868.0,50116557868.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_16,16,2016,52269097726.04996,52269097726.05,MATCH,4.57763671875e-05,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_16,16,2017,56276621539.78999,56276621539.79,MATCH,7.62939453125e-06,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_16,16,2018,62027911000.0,62027911000.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_16,16,2019,69584170690.0,69584170690.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_20,20,2020,77918738060.0,77918738060.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_20,20,2021,84686766746.0,84686766746.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_20,20,2022,106168387900.0,106168387900.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_20,20,2023,134801320040.0,134801320040.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"")"
Approved,2,EXP_ECON_TOT_EXP_EXE,approved_20,20,2024,140433548000.0,140433548000.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2006,4036549616.0,4036549616.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2007,4661148668.62,4661148668.62,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2008,5751190659.0,5751190659.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2009,6824460946.015625,6824460946.015625,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2010,7764774376.0,7764774376.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2011,7964704487.991028,7964704487.991028,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2012,8911873355.0,8911873355.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2013,8596578082.0,8596578082.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2014,9027408058.0,9027408058.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved,base,2015,10605772352.0,10605772352.0,MATCH,0.0,1,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_16,16,2016,11565819014.099998,11565819014.1,MATCH,1.9073486328125e-06,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_16,16,2017,12691527815.759998,12691527815.76,MATCH,1.9073486328125e-06,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_16,16,2018,13983258885.0,13983258885.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_16,16,2019,15014697910.0,15014697910.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_20,20,2020,14948146390.0,14948146390.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_20,20,2021,15957843570.0,15957843570.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_20,20,2022,17869733180.0,17869733180.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")"
