sheet,row,row_type,code,category,fiscal_year,region,income,basis,source,rigidity,formulas_text,coverage_text,years_covered,year_min,year_max,sample_formula,sample_year,measure,criteria_json,n_sumifs
Approved,2,TAG,EXP_ECON_TOT_EXP_EXE,Spending: Total Expenditures,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"Totals computed as sum of expenditure by all levels of General Government (Central and Local, excluding debt redemption and intra-budgetary transfers.",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}]",1
Approved,2,TAG,EXP_ECON_TOT_EXP_EXE,Spending: Total Expenditures,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"Totals computed as sum of expenditure by all levels of General Government (Central and Local, excluding debt redemption and intra-budgetary transfers.",General Government,"2016,2017,2018,2019",2016,2019,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"")",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}]",1
Approved,2,TAG,EXP_ECON_TOT_EXP_EXE,Spending: Total Expenditures,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"Totals computed as sum of expenditure by all levels of General Government (Central and Local, excluding debt redemption and intra-budgetary transfers.",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}]",1
Approved,3,HEADER,EXP_ECON_TOT_EXP_FOR_EXE,Spending: Total Expenditures (foreign funded),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,N/A,General Government,,,,,,,[],0
Approved,4,TAG,EXP_ECON_WAG_BIL_EXE,Spending: Wage bill,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under expenditure_type category ""Personnel"".",General Government,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2006,2015,"=SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",exp_type,""Personnel"")",2006,approved,"[{""field"": ""year"", ""op"": ""=year"", ""value"": ""C$1""}, {""field"": ""transfer"", ""op"": ""="", ""value"": ""Excluding transfers""}, {""field"": ""exp_type"", ""op"": ""="", ""value"": ""Personnel""}]",1
Approved,4,TAG,EXP_ECON_WAG_BIL_EXE,Spending: Wage bill,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under expenditure_type category ""Personnel"".",General Government,"2016,2017,2018,2019",2016,2019,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",exp_type_16,""Personal"")",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""exp_type_16"", ""op"": ""="", ""value"": ""Personal""}]",1
Approved,4,TAG,EXP_ECON_WAG_BIL_EXE,Spending: Wage bill,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under expenditure_type category ""Personnel"".",General Government,"2020,2021,2022,2023,2024",2020,2024,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")",2020,approved_20,"[{""field"": ""year_20"", ""op"": ""=year"", ""value"": ""Q$1""}, {""field"": ""transfer_20"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_20"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""exp_type_20"", ""op"": ""="", ""value"": ""Personal""}]",1
Approved,5,HEADER,EXP_ECON_BAS_WAG_EXE,Spending in basic wages,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,N/A,General Government,,,,,,,[],0
Approved,6,HEADER,EXP_ECON_ALL_EXE,Spending in allowances,Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,N/A,General Government,,,,,,,[],0
Approved,7,TAG,EXP_ECON_PEN_CON_EXE,Social benefits - (pension contributions),Jan-Dec,Europe & Central Asia,Lower middle income,Accrual,BOOST,Yes,"expenditures of all levels of government, under econ1 categories ""112 Mandatory state social insurance premiums"",""116 Employer's share of the mandatory health insurance premiums""",General Government,"2016,2017,2018,2019",2016,2019,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ3_16,""212000 Contributii si prime de asigurari obligatorii"")",2016,approved_16,"[{""field"": ""year_16"", ""op"": ""=year"", ""value"": ""M$1""}, {""field"": ""transfer_16"", ""op"": ""="", ""value"": ""Cu exceptia transferurilor""}, {""field"": ""econ0_16"", ""op"": ""="", ""value"": ""Expenditures""}, {""field"": ""econ3_16"", ""op"": ""="", ""value"": ""212000 Contributii si prime de asigurari obligatorii""}]",1
