code,category,tag_kind,econ,econ_sub,func,func_sub,decompose_notes,criteria_summary
EXP_ECON_CAP_EXP_EXE,Spending: Capital Expenditures,EXP_ECON,Capital expenditures,,,,,transfer=Excluding transfers AND exp_type=Capital
EXP_ECON_CAP_MAI_EXE,Spending in capital maintenance,EXP_ECON,Capital expenditures,Capital maintenance,,,,transfer=Excluding transfers AND econ2=132.11 Transfers for local public road maintenance and repair works OR transfer=Excluding transfers AND econ2=243.00 Capital repair works
EXP_ECON_GOO_SER_BAS_SER_EXE,Spending in Goods and services (basic services),EXP_ECON,Goods and services,Basic services,,,,transfer=Excluding transfers AND econ2=113.01 Power (electricity) OR transfer=Excluding transfers AND econ2=113.04 Heating OR transfer=Excluding transfers AND econ2=113.26 Fuel OR transfer=Excluding transfers AND econ2=113.11 Telecommunication and mail services OR transfer=Excluding transfers AND econ2=113.19 Rent-out of goods
EXP_ECON_GOO_SER_EMP_CON_EXE,Spending in Goods and services (employment contracts),EXP_ECON,Goods and services,Employment contracts,,,,transfer=Excluding transfers AND econ2=113.16 Research and innovation services contracted out by self-finance facilities
EXP_ECON_INT_DEB_EXE,Spending: Interest on debt,EXP_ECON,Interest on debt,,,,,transfer=Excluding transfers AND econ1=121 Payment of interest on internal loans OR transfer=Excluding transfers AND econ1=122 Payment of interest on external loans OR transfer=Excluding transfers AND econ1=123 Payment of interest by another-tier public administration authorities OR transfer=Excluding transfers AND econ1=124 Payment on the commitments owed to international finance facilities
EXP_ECON_OTH_MED_RIG_EXP_EXE,Other medium rigidity expenditures,EXP_ECON,Other expenses,,,,,econ2=260000 Granturi acordate
EXP_ECON_PEN_CON_EXE,Social benefits - (pension contributions),EXP_ECON,Social benefits,Pension contributions,,,,econ1=112 Mandatory state social insurance premiums AND transfer=Excluding transfers OR econ1=116 Employer's share of the mandatory health insurance premiums AND transfer=Excluding transfers
EXP_ECON_REC_MAI_EXE,Spending in recurrent maintenance,EXP_ECON,Goods and services,Recurrent maintenance,,,,transfer=Excluding transfers AND econ2=113.18 Current repair of equipment and inventory
EXP_ECON_SBN_CAP_SPE_EXE,Subnational: Capital spending,EXP_ECON,Capital expenditures,,,,Moldova subnational tag — confirm admin0/geo0 handling with SME,admin1=Local AND transfer=Excluding transfers AND exp_type=Capital
EXP_ECON_SBN_REC_SPE_EXE,Subnational: Recurrent spending,EXP_ECON,Goods and services,,,,Moldova subnational tag — confirm admin0/geo0 handling with SME,admin1=Local AND transfer=Excluding transfers AND exp_type=Personnel OR admin1=Local AND transfer=Excluding transfers AND exp_type=Non-personnel recurrent
EXP_ECON_SBN_TOT_TRA_EXE,Subnational: Total transfers,EXP_ECON,Other grants and transfers,,,,Moldova subnational tag — confirm admin0/geo0 handling with SME,admin1=Central AND econ1=133 Current transfers to another-tier budgets and across budget components AND transfer=Intrabudgetary transfers OR admin1=Central AND econ1=273 Capital transfers to another-tier budgets and between the budget components AND transfer=Intrabudgetary transfers
EXP_ECON_SOC_ASS_EXE,Social Assistance,EXP_ECON,Social benefits,Social assistance,,,,func1=10 Social care and social insurance AND transfer=Excluding transfers
EXP_ECON_SOC_BEN_PEN_EXE,Pensions,EXP_ECON,Social benefits,Pensions,,,,func2=10.01 Pensions for the military AND econ1=135 Transfers to population AND transfer=Excluding transfers OR func2=10.21 Social benefits and pensions paid through the state social insurance budget AND econ1=135 Transfers to population AND transfer=Excluding transfers
EXP_ECON_SUB_EXE,Spending in subsidies,EXP_ECON,Subsidies,,,,,transfer=Excluding transfers AND econ1=132 Transfers for production purposes
EXP_ECON_SUB_PRO_EXE,Spending: Subsidies to production,EXP_ECON,Subsidies,Subsidies to production,,,,transfer=Excluding transfers AND econ1=132 Transfers for production purposes
EXP_ECON_USE_GOO_SER_EXE,Spending: Use of Goods and services,EXP_ECON,Goods and services,,,,,transfer=Excluding transfers AND econ1=113 Payment for goods and services
EXP_ECON_WAG_BIL_EXE,Spending: Wage bill,EXP_ECON,Wage bill,,,,,transfer=Excluding transfers AND exp_type=Personnel
EXP_FUNC_AGR_EXE,Spending in agriculture,EXP_FUNC,,,Economic affairs,Agriculture,,"transfer=Excluding transfers AND func1=11 Agriculture, forestry, fishery and water service"
EXP_FUNC_DEF_EXE,Defense (COFOG 702),EXP_FUNC,,,Defence,,,transfer=Excluding transfers AND func1=03 National defense
EXP_FUNC_EDU_EXE,Education (COFOG 709),EXP_FUNC,,,Education,,,transfer=Excluding transfers AND func1=06 Education
EXP_FUNC_ENE_EXE,Spending in energy,EXP_FUNC,,,Economic affairs,,,transfer=Excluding transfers AND func1=16 Fuel and energy
EXP_FUNC_ENE_HEA_EXE,Spending in energy (heating),EXP_FUNC,,,Economic affairs,Energy (heating),,transfer=Excluding transfers AND func2=16.03 Heating installations/networks
EXP_FUNC_ENE_OIL_EXE,Spending in energy (oil & gas),EXP_FUNC,,,Economic affairs,Energy (oil & gas),,transfer=Excluding transfers AND func2=16.01 Natural gas installations/networks
EXP_FUNC_ENE_POW_EXE,Spending in energy (power),EXP_FUNC,,,Economic affairs,Energy (power),,transfer=Excluding transfers AND func2=16.02 Power installations/networks
EXP_FUNC_ENV_PRO_EXE,Environment Protection (COFOG 705),EXP_FUNC,,,Environmental protection,,,transfer=Excluding transfers AND func1=12 Environment protection and hydrometeorology
EXP_FUNC_ENV_PRO_NEC_EXE,Environmental Protection N.E.C,EXP_FUNC,,,Environmental protection,N.E.C,,transfer=Excluding transfers AND func1=12 Environment protection and hydrometeorology
EXP_FUNC_HEA_EXE,Health (COFOG 707),EXP_FUNC,,,Health,,,transfer=Excluding transfers AND func1=09 Healthcare
EXP_FUNC_HOU_EXE,Housing (COFOG 706),EXP_FUNC,,,Housing and community amenities,,,transfer=Excluding transfers AND func1=15 Utilities and housing
EXP_FUNC_JUD_EXE,Spending in judiciary,EXP_FUNC,,,General public services,Judiciary,,transfer=Excluding transfers AND func1=04 justice
