dimension,code_a,code_b,lines,executed_overlap,pct_of_pair,years
econ,Wage bill,Capital expenditures,1672,6949196980400.0,5.168804196458479,"2022/23,2023/24"
econ,Capital expenditures,Goods and services,3281,2562845609160.0,1.9622408266329037,"2022/23,2023/24"
econ,Capital expenditures,Other grants/transfers,2107,970078861866.4744,1.0106448622291102,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20"
econ,Other grants/transfers,Social benefits,8,523991667608.0,1.5355601282661602,"2020/21,2021/22,2022/23,2023/24"
econ,Wage bill,Other grants/transfers,1699,263008330276.7408,0.2601152236290838,"2005/06,2006/07,2007/08,2008/09,2009/10,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22"
econ,Goods and services,Other grants/transfers,1297,179312872073.6462,0.19286609880023653,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16"
econ,Goods and services,Social benefits,241,12323206212.0,0.017393318883070726,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
econ,Wage bill,Social benefits,60,7199664746.0,0.009104445842565674,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
econ_sub,Allowances,Social Assistance,14,84787602.0,0.0009145863373642915,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2022/23"
econ_sub,Recurrent maintenance,Social Assistance,13,42406491.0,0.0014253430728842513,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2013/14,2020/21,2022/23"
func,Education,Social protection,63,200581782748.0,0.4796381517449513,"2008/09,2009/10,2010/11,2011/12,2012/13,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
func,Public order and safety,Social protection,109,192694420949.0,1.047873678584281,"2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
func,Health,Social protection,416,183215940371.0,0.6530823161936953,"2009/10,2011/12,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
func,Economic affairs,Social protection,60,175967522612.0,0.25692184109147814,"2009/10,2010/11,2011/12,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
func,Health,Education,301,127640540488.0,0.22059102066821773,"2022/23,2023/24"
func,Environmental protection,Housing and community amenities,1649,46601994640.666664,0.7780946590742606,"2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2022/23,2023/24"
func,Social protection,Housing and community amenities,38,19513544436.0,0.18664827772228826,"2005/06,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24"
func,Health,Housing and community amenities,665,11475779063.0,0.04341394304560046,"2011/12,2012/13,2013/14"
func,Environmental protection,Social protection,12,9614185803.0,0.12296536777440766,"2005/06,2009/10,2013/14,2021/22,2022/23,2023/24"
func,Economic affairs,Education,14,399759723.0,0.00040617888821387467,2022/23
func,Defense,Social protection,1,0.0,0.0,2022/23
func,Economic affairs,Environmental protection,1,0.0,0.0,2015/16
