filename,sheet_name,col_name,admin_level,country,country_code,comment
Afghanistan BOOST 2010-20 CCI.xlsx,Raw,Province,admin1,Afghanistan,AFG,
Afghanistan BOOST 2010-20 CCI.xlsx,Raw,District,admin2,Afghanistan,AFG,
Afghanistan BOOST 2010-20 CCI.xlsx,Raw,District,admin2,Afghanistan,AFG,mentions provincial captitals
Albania BOOST 2010-22 CCI.xlsx,Data_Expenditures,admin2_new,admin1,Albania,ALB,
Albania BOOST 2010-22 CCI.xlsx,Data_Expenditures,county,admin1,Albania,ALB,
Albania BOOST 2010-22 CCI.xlsx,Data_Expenditures,admin2,admin2,Albania,ALB,seems to be the municipalities
Albania BOOST 2010-22 CCI.xlsx,Data_Expenditures,admin5,admin2,Albania,ALB,possibly cities and towns
Albania BOOST 2010-22 CCI.xlsx,Data_Revenues,county,admin1,Albania,ALB,
Argentina BOOST 2007-22 CCI.xlsx,Base,geo,admin1,Argentina,ARG,
Argentina BOOST 2007-22 CCI.xlsx,subnational,Admin,admin1,Argentina,ARG,the column names are the provinces
Argentina BOOST 2007-22 CCI.xlsx,subnational,Admin,admin1,Argentina,ARG,provinces are columns in this sheet
Argentina BOOST 2007-22 CCI.xlsx,2021 onward,Geo1,admin1,Argentina,ARG,
Belarus BOOST 2013-18 CCI.xlsx,raw education,admin4,admin1,Belarus,BLR,
Belarus BOOST 2013-18 CCI.xlsx,raw education,admin5,admin2,Belarus,BLR,
Bhutan BOOST 2011-21 CCI.xlsx,BOOST,Admin2,admin1,Bhutan,BTN,
Burkina Faso BOOST 2006-20 CCI.xlsx,BOOST,GEO1,admin1,Burkina Faso,BFA,
Burkina Faso BOOST 2006-20 CCI.xlsx,BOOST_,GEO_REGION,admin1,Burkina Faso,BFA,
Burkina Faso BOOST 2006-20 CCI.xlsx,BOOST_,GEO_REG,admin1,Burkina Faso,BFA,
Burkina Faso BOOST 2006-20 CCI.xlsx,BOOST_,GEO_PROVINCE,admin2,Burkina Faso,BFA,
Burundi BOOST 2013-15 CCI.xlsx,Database,Geo,admin1,Burundi,BDI,
Chile BOOST 2006-22 CCI.xlsx,Cen,region,admin1,Chile,CHL,
